Rep	Year	RepSeason	PatchID	Ncells	Species	NInd	Nfemales	Nmales
0	58	0	1060	10	0	0	0	0
0	58	0	1062	29	0	10	4	6
0	58	0	1063	11	0	5	3	2
0	58	0	1065	8	0	3	1	2
0	58	0	1073	52	0	0	0	0
0	58	0	1074	18	0	0	0	0
0	58	0	1082	16	0	0	0	0
0	58	0	1101	19	0	1	1	0
0	58	0	1104	1433	0	130	64	66
0	58	0	1105	40	0	6	3	3
0	58	0	1108	7	0	0	0	0
0	58	0	1109	22	0	3	1	2
0	58	0	1111	167	0	23	6	17
0	58	0	1112	47	0	18	12	6
0	58	0	1123	100	0	0	0	0
0	58	0	1126	37	0	24	13	11
0	58	0	1127	20	0	1	1	0
0	58	0	1130	27	0	8	4	4
0	58	0	1133	12	0	0	0	0
0	58	0	1138	6	0	0	0	0
0	58	0	1141	6	0	2	1	1
0	58	0	1144	10	0	1	1	0
0	58	0	1148	9	0	2	1	1
0	58	0	1150	262	0	14	7	7
0	58	0	1151	9	0	0	0	0
0	58	0	1153	6	0	0	0	0
0	58	0	1154	31	0	0	0	0
0	58	0	1157	13	0	1	1	0
0	58	0	1159	3201	0	259	134	125
0	58	0	1160	149	0	9	5	4
0	58	0	1162	13	0	5	4	1
0	58	0	1163	37	0	9	3	6
0	58	0	1171	7	0	11	7	4
0	58	0	1172	10	0	0	0	0
0	58	0	1173	11	0	0	0	0
0	58	0	1180	103	0	13	7	6
0	58	0	1182	3851	0	336	171	165
0	58	0	1185	8	0	0	0	0
0	58	0	1187	5	0	0	0	0
0	58	0	1189	24	0	0	0	0
0	58	0	1193	6	0	0	0	0
0	58	0	1194	17	0	0	0	0
0	58	0	1196	10	0	0	0	0
0	58	0	1198	233	0	19	15	4
0	58	0	1200	53	0	18	8	10
0	58	0	1203	27	0	20	11	9
0	58	0	1205	7	0	4	3	1
0	58	0	1209	9	0	14	9	5
0	58	0	1214	8	0	0	0	0
0	58	0	1228	46	0	20	12	8
0	58	0	1230	10	0	0	0	0
0	58	0	1238	8	0	1	1	0
0	58	0	1239	24	0	4	2	2
0	58	0	1240	13	0	13	8	5
0	58	0	1247	23	0	7	2	5
0	58	0	1252	372	0	12	10	2
0	58	0	1263	8	0	3	2	1
0	58	0	1273	11	0	0	0	0
0	58	0	1280	1904	0	171	85	86
0	58	0	1282	19	0	13	10	3
0	58	0	1283	16	0	0	0	0
0	58	0	1284	5	0	0	0	0
0	58	0	1293	9	0	0	0	0
0	58	0	1295	11	0	11	7	4
0	58	0	1296	27	0	0	0	0
0	58	0	1297	6	0	9	6	3
0	58	0	1303	6	0	17	10	7
0	58	0	1306	1307	0	81	32	49
0	58	0	1314	6	0	0	0	0
0	58	0	1315	354	0	35	19	16
0	58	0	1317	6	0	7	6	1
0	58	0	1324	13	0	21	9	12
0	58	0	1330	17	0	0	0	0
0	58	0	1334	1654	0	134	66	68
0	58	0	1344	6	0	0	0	0
0	58	0	1346	49	0	5	1	4
0	58	0	1348	2573	0	189	93	96
0	58	0	1362	14	0	4	3	1
0	58	0	1363	27	0	5	2	3
0	58	0	1366	10	0	1	1	0
0	58	0	1367	146	0	0	0	0
