PatchID0,PatchID1,MeanD,Tree_disease,Management,Replicate,method
248,970,0.926907,70,0,1,RS
248,1182,0.959228,70,0,1,RS
248,1306,0.933333,70,0,1,RS
248,1442,0.881053,70,0,1,RS
248,1497,0.909521,70,0,1,RS
248,1555,0.887483,70,0,1,RS
248,1673,1,70,0,1,RS
248,2097,0.949543,70,0,1,RS
525,622,0.986777,70,0,1,RS
525,764,0.864533,70,0,1,RS
525,892,0.981304,70,0,1,RS
525,970,0.943295,70,0,1,RS
525,1182,0.905795,70,0,1,RS
525,1306,0.964213,70,0,1,RS
525,1442,0.911539,70,0,1,RS
525,1497,0.827449,70,0,1,RS
525,1555,0.98675,70,0,1,RS
525,1673,0.868332,70,0,1,RS
525,2097,0.88525,70,0,1,RS
622,764,0.882504,70,0,1,RS
622,892,0.998291,70,0,1,RS
622,970,0.934808,70,0,1,RS
622,1182,0.735219,70,0,1,RS
622,1306,0.824137,70,0,1,RS
622,1442,0.832688,70,0,1,RS
622,1497,0.880556,70,0,1,RS
622,1555,0.984965,70,0,1,RS
622,1673,0.956092,70,0,1,RS
622,2097,0.9519,70,0,1,RS
764,892,0.890111,70,0,1,RS
764,970,0.950548,70,0,1,RS
764,1182,0.771665,70,0,1,RS
764,1306,0.97081,70,0,1,RS
764,1442,0.828205,70,0,1,RS
764,1497,0.838473,70,0,1,RS
764,1555,0.875053,70,0,1,RS
764,1673,0.979411,70,0,1,RS
764,2097,0.918663,70,0,1,RS
892,970,0.933333,70,0,1,RS
892,1182,0.877664,70,0,1,RS
892,1306,0.933333,70,0,1,RS
892,1442,0.930877,70,0,1,RS
892,1497,0.989801,70,0,1,RS
892,1555,0.835974,70,0,1,RS
892,1673,1,70,0,1,RS
892,2097,0.990418,70,0,1,RS
970,1182,0.891271,70,0,1,RS
970,1306,0.836407,70,0,1,RS
970,1442,0.917616,70,0,1,RS
970,1497,0.931198,70,0,1,RS
970,1555,0.897595,70,0,1,RS
970,1673,0.852972,70,0,1,RS
970,2097,0.992967,70,0,1,RS
1182,1306,0.840381,70,0,1,RS
1182,1442,0.597274,70,0,1,RS
1182,1497,0.864956,70,0,1,RS
1182,1555,0.867767,70,0,1,RS
1182,1673,0.974242,70,0,1,RS
1182,2097,0.794288,70,0,1,RS
1306,1442,0.86428,70,0,1,RS
1306,1497,0.876848,70,0,1,RS
1306,1555,0.925118,70,0,1,RS
1306,1673,0.908154,70,0,1,RS
1306,2097,0.883095,70,0,1,RS
1442,1497,0.822112,70,0,1,RS
1442,1555,0.90714,70,0,1,RS
1442,1673,0.858384,70,0,1,RS
1442,2097,0.743121,70,0,1,RS
1497,1555,0.920019,70,0,1,RS
1497,1673,0.915934,70,0,1,RS
1497,2097,0.86982,70,0,1,RS
1555,1673,0.91507,70,0,1,RS
1555,2097,0.868512,70,0,1,RS
1673,2097,0.964865,70,0,1,RS
90,248,0.985456,70,40,1,RS
90,525,0.821737,70,40,1,RS
90,622,0.991014,70,40,1,RS
90,764,0.969804,70,40,1,RS
90,892,1,70,40,1,RS
90,970,0.972679,70,40,1,RS
90,1182,0.909742,70,40,1,RS
90,1306,0.857131,70,40,1,RS
90,1442,0.926509,70,40,1,RS
90,1497,0.759729,70,40,1,RS
90,1555,0.961354,70,40,1,RS
90,1673,0.981378,70,40,1,RS
90,2097,0.946633,70,40,1,RS
248,525,1,70,40,1,RS
248,622,0.83443,70,40,1,RS
248,764,0.906233,70,40,1,RS
248,892,0.889706,70,40,1,RS
248,970,0.924679,70,40,1,RS
248,1182,0.905409,70,40,1,RS
248,1306,0.933333,70,40,1,RS
248,1442,0.936623,70,40,1,RS
248,1497,0.982019,70,40,1,RS
248,1555,0.829762,70,40,1,RS
248,1673,0.868553,70,40,1,RS
248,2097,0.945833,70,40,1,RS
525,622,0.958899,70,40,1,RS
525,764,0.938508,70,40,1,RS
525,892,0.892295,70,40,1,RS
525,970,0.977538,70,40,1,RS
525,1182,0.852009,70,40,1,RS
525,1306,0.88216,70,40,1,RS
525,1442,0.886105,70,40,1,RS
525,1497,0.943796,70,40,1,RS
525,1555,0.973597,70,40,1,RS
525,1673,0.997648,70,40,1,RS
525,2097,0.948621,70,40,1,RS
622,764,0.875277,70,40,1,RS
622,892,0.952972,70,40,1,RS
622,970,0.982957,70,40,1,RS
622,1182,0.955484,70,40,1,RS
622,1306,1,70,40,1,RS
622,1442,0.850217,70,40,1,RS
622,1497,0.994665,70,40,1,RS
622,1555,1,70,40,1,RS
622,1673,0.935306,70,40,1,RS
622,2097,0.997,70,40,1,RS
764,892,0.90869,70,40,1,RS
764,970,0.914225,70,40,1,RS
764,1182,0.772697,70,40,1,RS
764,1306,0.860679,70,40,1,RS
764,1442,0.80441,70,40,1,RS
