Ash_rep,Land_rep,Replicate,Treatment,Tree_disease,Management,Patch_1,Patch_2,real_distance,FST,method
1,1,0,1,0,0,1555,1306,3983.629676,0.081726042,wc
1,1,0,1,0,0,1555,1442,2419.189448,0.037564538,wc
1,1,0,1,0,0,1555,1497,2773.205449,0.058159044,wc
1,1,0,1,0,0,1673,90,3371.007577,0.093316066,wc
1,1,0,1,0,0,1673,248,2329.859311,0.161176824,wc
1,1,0,1,0,0,1673,525,2467.744101,0.090901004,wc
1,1,0,1,0,0,1673,622,2420.869469,0.135510275,wc
1,1,0,1,0,0,1673,764,1454.507507,0.078685293,wc
1,1,0,1,0,0,1673,892,1469.967519,0.128531041,wc
1,1,0,1,0,0,1673,970,3371.810736,0.134414724,wc
1,1,0,1,0,0,1673,1182,729.1459779,0.069541044,wc
1,1,0,1,0,0,1673,1306,1747.930722,0.11700804,wc
1,1,0,1,0,0,1673,1442,322.0531022,0.068528696,wc
1,1,0,1,0,0,1673,1497,446.9309,0.083874316,wc
1,1,0,1,0,0,1673,1555,2390.531667,0.076694038,wc
1,1,0,1,0,0,2097,90,4978.759748,0.081696974,wc
1,1,0,1,0,0,2097,248,3170.162972,0.123566497,wc
1,1,0,1,0,0,2097,525,4102.602138,0.069807647,wc
1,1,0,1,0,0,2097,622,2494.639477,0.094958592,wc
1,1,0,1,0,0,2097,764,2429.759564,0.053430022,wc
1,1,0,1,0,0,2097,892,3010.611706,0.109039329,wc
1,1,0,1,0,0,2097,970,5038.333444,0.114220614,wc
1,1,0,1,0,0,2097,1182,2155.202212,0.049392655,wc
1,1,0,1,0,0,2097,1306,1575.065905,0.08245182,wc
1,1,0,1,0,0,2097,1442,1814.595807,0.053410052,wc
1,1,0,1,0,0,2097,1497,1473.735694,0.058554444,wc
1,1,0,1,0,0,2097,1555,3982.444539,0.06614364,wc
1,1,0,1,0,0,2097,1673,1670.664355,0.100139464,wc
1,1,0,1,0,0,248,90,2875.577966,0.093907077,wc
1,1,0,1,0,0,525,90,924.1892355,0.065994294,wc
1,1,0,1,0,0,525,248,2438.773457,0.107490612,wc
1,1,0,1,0,0,622,90,4088.375978,0.098271161,wc
1,1,0,1,0,0,622,248,1275.446223,0.12488416,wc
1,1,0,1,0,0,622,525,3519.587197,0.100412469,wc
1,1,0,1,0,0,764,90,2900.735471,0.047861016,wc
1,1,0,1,0,0,764,248,877.1804123,0.078949749,wc
1,1,0,1,0,0,764,525,2218.685077,0.05400734,wc
1,1,0,1,0,0,764,622,1354.751365,0.076762208,wc
1,1,0,1,0,0,892,90,1975.876435,0.089777433,wc
1,1,0,1,0,0,892,248,1612.234364,0.124944798,wc
1,1,0,1,0,0,892,525,1158.542432,0.073167702,wc
