"","PatchID0","PatchID1","FST","Tree_disease","Management","Replicate","method"
"10961","1182","1442",0.189024,"70","0",1,"RS"
"10971","1182","1497",0.319647,"70","0",1,"RS"
"10981","1182","1555",0.430031,"70","0",1,"RS"
"10991","1182","1673",0.60518,"70","0",1,"RS"
"11001","1182","2097",0.301204,"70","0",1,"RS"
"11011","1306","1442",0.503627,"70","0",1,"RS"
"11021","1306","1497",0.593604,"70","0",1,"RS"
"11031","1306","1555",0.711862,"70","0",1,"RS"
"11041","1306","1673",0.869099,"70","0",1,"RS"
"11051","1306","2097",0.587562,"70","0",1,"RS"
"11061","1442","1497",0.321453,"70","0",1,"RS"
"11071","1442","1555",0.439901,"70","0",1,"RS"
"11081","1442","1673",0.579823,"70","0",1,"RS"
"11091","1442","2097",0.287923,"70","0",1,"RS"
"11101","1497","1555",0.5285,"70","0",1,"RS"
"11111","1497","1673",0.679902,"70","0",1,"RS"
"11121","1497","2097",0.400852,"70","0",1,"RS"
"11131","1555","1673",0.787255,"70","0",1,"RS"
"11141","1555","2097",0.510221,"70","0",1,"RS"
"11151","1673","2097",0.681292,"70","0",1,"RS"
"10252","90","248",0.738122,"70","40",1,"RS"
"10262","90","525",0.57549,"70","40",1,"RS"
"10272","90","622",0.747677,"70","40",1,"RS"
"10282","90","764",0.472529,"70","40",1,"RS"
"10292","90","892",0.783596,"70","40",1,"RS"
"10302","90","970",0.726769,"70","40",1,"RS"
"10312","90","1182",0.43914,"70","40",1,"RS"
"10322","90","1306",0.748209,"70","40",1,"RS"
"10332","90","1442",0.490314,"70","40",1,"RS"
"10342","90","1497",0.525615,"70","40",1,"RS"
"10352","90","1555",0.654616,"70","40",1,"RS"
"10362","90","1673",0.761067,"70","40",1,"RS"
"10372","90","2097",0.650038,"70","40",1,"RS"
"10382","248","525",0.673985,"70","40",1,"RS"
"10392","248","622",0.819979,"70","40",1,"RS"
"10402","248","764",0.482846,"70","40",1,"RS"
"10412","248","892",0.877803,"70","40",1,"RS"
"10422","248","970",0.802992,"70","40",1,"RS"
"10432","248","1182",0.460313,"70","40",1,"RS"
"10442","248","1306",0.864297,"70","40",1,"RS"
"10452","248","1442",0.522873,"70","40",1,"RS"
"10462","248","1497",0.626403,"70","40",1,"RS"
"10472","248","1555",0.682075,"70","40",1,"RS"
"10482","248","1673",0.840451,"70","40",1,"RS"
"10492","248","2097",0.710902,"70","40",1,"RS"
"10502","525","622",0.689593,"70","40",1,"RS"
"10512","525","764",0.414324,"70","40",1,"RS"
"10522","525","892",0.709928,"70","40",1,"RS"
"10532","525","970",0.674105,"70","40",1,"RS"
"10542","525","1182",0.368935,"70","40",1,"RS"
"10552","525","1306",0.694572,"70","40",1,"RS"
"10562","525","1442",0.425695,"70","40",1,"RS"
"10572","525","1497",0.518654,"70","40",1,"RS"
"10582","525","1555",0.603869,"70","40",1,"RS"
"10592","525","1673",0.709952,"70","40",1,"RS"
"10602","525","2097",0.594078,"70","40",1,"RS"
"10612","622","764",0.52565,"70","40",1,"RS"
"10622","622","892",0.854059,"70","40",1,"RS"
"10632","622","970",0.804872,"70","40",1,"RS"
"10642","622","1182",0.523852,"70","40",1,"RS"
"10652","622","1306",0.848465,"70","40",1,"RS"
"10662","622","1442",0.540162,"70","40",1,"RS"
"10672","622","1497",0.659051,"70","40",1,"RS"
"10682","622","1555",0.737281,"70","40",1,"RS"
"10692","622","1673",0.831306,"70","40",1,"RS"
"10702","622","2097",0.734097,"70","40",1,"RS"
"10712","764","892",0.563903,"70","40",1,"RS"
"10722","764","970",0.516172,"70","40",1,"RS"
"10732","764","1182",0.218114,"70","40",1,"RS"
"10742","764","1306",0.548543,"70","40",1,"RS"
"10752","764","1442",0.267712,"70","40",1,"RS"
"10762","764","1497",0.365188,"70","40",1,"RS"
"10772","764","1555",0.44464,"70","40",1,"RS"
"10782","764","1673",0.53201,"70","40",1,"RS"
"10792","764","2097",0.421143,"70","40",1,"RS"
"10802","892","970",0.828557,"70","40",1,"RS"
"10812","892","1182",0.491266,"70","40",1,"RS"
"10822","892","1306",0.86918,"70","40",1,"RS"
"10832","892","1442",0.577653,"70","40",1,"RS"
"10842","892","1497",0.678573,"70","40",1,"RS"
"10852","892","1555",0.713334,"70","40",1,"RS"
"10862","892","1673",0.864488,"70","40",1,"RS"
"10872","892","2097",0.75641,"70","40",1,"RS"
"10882","970","1182",0.462604,"70","40",1,"RS"
"10892","970","1306",0.819816,"70","40",1,"RS"
"10902","970","1442",0.525627,"70","40",1,"RS"
"10912","970","1497",0.632877,"70","40",1,"RS"
"10922","970","1555",0.69206,"70","40",1,"RS"
"10932","970","1673",0.807503,"70","40",1,"RS"
"10942","970","2097",0.705294,"70","40",1,"RS"
"10952","1182","1306",0.531972,"70","40",1,"RS"
