Rep	Year	RepSeason	PatchID	Ncells	Species	NInd	Nfemales	Nmales
0	58	0	1180	103	0	18	6	12
0	58	0	1182	3851	0	422	195	227
0	58	0	1185	8	0	0	0	0
0	58	0	1187	5	0	1	1	0
0	58	0	1189	24	0	0	0	0
0	58	0	1193	6	0	0	0	0
0	58	0	1194	17	0	1	1	0
0	58	0	1196	10	0	0	0	0
0	58	0	1198	233	0	17	8	9
0	58	0	1200	53	0	13	5	8
0	58	0	1203	27	0	13	9	4
0	58	0	1205	7	0	5	1	4
0	58	0	1209	9	0	10	7	3
0	58	0	1214	8	0	0	0	0
0	58	0	1228	46	0	35	15	20
0	58	0	1230	10	0	0	0	0
0	58	0	1238	8	0	0	0	0
0	58	0	1239	24	0	3	1	2
0	58	0	1240	13	0	12	5	7
0	58	0	1247	23	0	20	8	12
0	58	0	1252	372	0	22	11	11
0	58	0	1263	8	0	2	2	0
0	58	0	1273	11	0	0	0	0
0	58	0	1280	1904	0	178	83	95
0	58	0	1282	19	0	17	8	9
0	58	0	1283	16	0	1	1	0
0	58	0	1284	5	0	0	0	0
0	58	0	1293	9	0	0	0	0
0	58	0	1295	11	0	12	4	8
0	58	0	1296	27	0	7	4	3
0	58	0	1297	6	0	0	0	0
0	58	0	1303	6	0	7	4	3
0	58	0	1306	1307	0	98	56	42
0	58	0	1314	6	0	0	0	0
0	58	0	1315	354	0	24	10	14
0	58	0	1317	6	0	3	2	1
0	58	0	1324	13	0	16	6	10
0	58	0	1330	17	0	0	0	0
0	58	0	1334	1654	0	96	51	45
0	58	0	1344	6	0	0	0	0
0	58	0	1346	49	0	7	4	3
0	58	0	1348	2573	0	210	104	106
0	58	0	1356	8	0	0	0	0
0	58	0	1362	14	0	6	5	1
0	58	0	1363	27	0	1	1	0
0	58	0	1366	10	0	4	3	1
0	58	0	1367	146	0	0	0	0
0	58	0	1368	17	0	0	0	0
0	58	0	1373	465	0	32	13	19
0	58	0	1374	100	0	0	0	0
