Event,Number,Reps,Years,Time
Simulation,13,2,61,96
Simulation,14,2,61,155
Simulation,15,2,61,214
Simulation,16,2,61,92
Simulation,17,2,61,146
Simulation,18,2,61,202
Simulation,19,2,61,92
Simulation,20,2,61,147
Simulation,21,2,61,207
Simulation,22,2,61,83
Simulation,23,2,61,132
Simulation,24,2,61,188
Simulation,25,2,61,82
Simulation,26,2,61,136
Simulation,27,2,61,190
Landscape,15,,,2
Simulation,1,2,61,145
Simulation,2,2,61,220
Simulation,3,2,61,312
Simulation,4,2,61,121
Simulation,5,2,61,190
Simulation,6,2,61,270
Simulation,7,2,61,110
Simulation,8,2,61,176
Simulation,9,2,61,245
Simulation,10,2,61,106
Simulation,11,2,61,177
Simulation,12,2,61,244
Simulation,13,2,61,100
Simulation,14,2,61,155
Simulation,15,2,61,220
Simulation,16,2,61,92
Simulation,17,2,61,144
Simulation,18,2,61,195
Simulation,19,2,61,93
Simulation,20,2,61,143
Simulation,21,2,61,209
Simulation,22,2,61,82
Simulation,23,2,61,131
Simulation,24,2,61,183
Simulation,25,2,61,79
Simulation,26,2,61,125
Simulation,27,2,61,172
Landscape,16,,,2
Simulation,1,2,61,136
Simulation,2,2,61,211
Simulation,3,2,61,297
Simulation,4,2,61,117
Simulation,5,2,61,187
Simulation,6,2,61,258
Simulation,7,2,61,112
Simulation,8,2,61,173
Simulation,9,2,61,235
Simulation,10,2,61,103
Simulation,11,2,61,170
Simulation,12,2,61,233
Simulation,13,2,61,92
Simulation,14,2,61,146
Simulation,15,2,61,207
Simulation,16,2,61,87
Simulation,17,2,61,140
Simulation,18,2,61,191
Simulation,19,2,61,88
Simulation,20,2,61,136
Simulation,21,2,61,198
Simulation,22,2,61,79
Simulation,23,2,61,124
Simulation,24,2,61,176
Simulation,25,2,61,75
Simulation,26,2,61,121
Simulation,27,2,61,162
Landscape,17,,,2
Simulation,1,2,61,126
Simulation,2,2,61,190
Simulation,3,2,61,270
Simulation,4,2,61,107
Simulation,5,2,61,165
Simulation,6,2,61,226
Simulation,7,2,61,98
Simulation,8,2,61,153
Simulation,9,2,61,215
Simulation,10,2,61,93
Simulation,11,2,61,167
Simulation,12,2,61,211
Simulation,13,2,61,85
Simulation,14,2,61,131
Simulation,15,2,61,182
Simulation,16,2,61,81
Simulation,17,2,61,124
Simulation,18,2,61,168
Simulation,19,2,61,78
Simulation,20,2,61,128
Simulation,21,2,61,175
Simulation,22,2,61,73
Simulation,23,2,61,113
Simulation,24,2,61,158
Simulation,25,2,61,71
Simulation,26,2,61,105
Simulation,27,2,61,144
Landscape,18,,,1
Simulation,1,2,61,120
Simulation,2,2,61,187
Simulation,3,2,61,262
Simulation,4,2,61,107
Simulation,5,2,61,164
Simulation,6,2,61,226
Simulation,7,2,61,99
Simulation,8,2,61,154
Simulation,9,2,61,210
Simulation,10,2,61,93
Simulation,11,2,61,145
Simulation,12,2,61,203
Simulation,13,2,61,82
Simulation,14,2,61,128
Simulation,15,2,61,177
Simulation,16,2,61,80
Simulation,17,2,61,127
Simulation,18,2,61,169
Simulation,19,2,61,77
Simulation,20,2,61,125
Simulation,21,2,61,170
Simulation,22,2,61,68
Simulation,23,2,61,110
Simulation,24,2,61,152
Simulation,25,2,61,68
Simulation,26,2,61,102
Simulation,27,2,61,146
Landscape,19,,,1
Simulation,1,2,61,118
Simulation,2,2,61,181
Simulation,3,2,61,265
Simulation,4,2,61,104
Simulation,5,2,61,165
Simulation,6,2,61,228
Simulation,7,2,61,98
Simulation,8,2,61,150
Simulation,9,2,61,203
Simulation,10,2,61,92
Simulation,11,2,61,145
Simulation,12,2,61,201
Simulation,13,2,61,82
Simulation,14,2,61,126
Simulation,15,2,61,176
Simulation,16,2,61,79
Simulation,17,2,61,124
Simulation,18,2,61,166
Simulation,19,2,61,74
Simulation,20,2,61,118
Simulation,21,2,61,167
Simulation,22,2,61,70
Simulation,23,2,61,112
Simulation,24,2,61,147
Simulation,25,2,61,64
Simulation,26,2,61,102
Simulation,27,2,61,143
Landscape,20,,,2
Simulation,1,2,61,99
Simulation,2,2,61,158
Simulation,3,2,61,222
Simulation,4,2,61,91
Simulation,5,2,61,137
Simulation,6,2,61,190
Simulation,7,2,61,81
Simulation,8,2,61,125
Simulation,9,2,61,173
Simulation,10,2,61,77
Simulation,11,2,61,121
Simulation,12,2,61,178
Simulation,13,2,61,78
Simulation,14,2,61,121
Simulation,15,2,61,150
Simulation,16,2,61,65
Simulation,17,2,61,102
Simulation,18,2,61,144
Simulation,19,2,61,67
Simulation,20,2,61,107
Simulation,21,2,61,148
Simulation,22,2,61,59
Simulation,23,2,61,94
Simulation,24,2,61,128
Simulation,25,2,61,58
Simulation,26,2,61,88
Simulation,27,2,61,123
Landscape,21,,,2
Simulation,1,2,61,97
Simulation,2,2,61,162
Simulation,3,2,61,231
Simulation,4,2,61,86
Simulation,5,2,61,137
Simulation,6,2,61,188
Simulation,7,2,61,82
Simulation,8,2,61,132
Simulation,9,2,61,176
Simulation,10,2,61,75
Simulation,11,2,61,124
Simulation,12,2,61,171
Simulation,13,2,61,69
Simulation,14,2,61,109
Simulation,15,2,61,152
Simulation,16,2,61,69
Simulation,17,2,61,115
Simulation,18,2,61,163
Simulation,19,2,61,70
Simulation,20,2,61,110
Simulation,21,2,61,157
Simulation,22,2,61,65
Simulation,23,2,61,101
Simulation,24,2,61,146
Simulation,25,2,61,59
Simulation,26,2,61,93
Simulation,27,2,61,126
Landscape,22,,,1
Simulation,1,2,61,105
Simulation,2,2,61,166
Simulation,3,2,61,246
Simulation,4,2,61,94
Simulation,5,2,61,142
