Rep	Year	StartPatch	EndPatch	Ninds
0	58	872	954	1
0	58	872	962	1
0	58	872	989	1
0	58	876	833	2
0	58	876	844	4
0	58	876	892	3
0	58	876	931	1
0	58	885	939	1
0	58	887	880	1
0	58	887	937	1
0	58	890	896	1
0	58	892	833	10
0	58	892	876	5
0	58	892	922	2
0	58	892	931	8
0	58	892	962	1
0	58	892	963	3
0	58	893	898	6
0	58	893	974	3
0	58	896	439	3
0	58	896	764	2
0	58	896	890	3
0	58	896	953	3
0	58	898	858	3
0	58	898	893	2
0	58	900	824	1
0	58	931	844	6
0	58	931	876	5
0	58	931	892	4
0	58	931	955	6
0	58	931	1163	14
0	58	931	1171	8
0	58	931	1247	4
0	58	931	1282	9
0	58	931	1315	4
0	58	937	951	4
0	58	950	970	2
0	58	951	937	3
0	58	951	1053	1
0	58	952	439	2
0	58	952	951	1
0	58	953	439	2
0	58	953	764	1
0	58	953	896	1
0	58	953	987	1
0	58	954	977	1
0	58	955	844	3
0	58	955	931	1
0	58	963	892	2
0	58	966	977	1
0	58	970	790	1
0	58	970	950	16
0	58	970	1104	10
0	58	970	1126	4
0	58	974	893	2
0	58	974	1021	3
0	58	974	1082	2
0	58	974	1157	2
0	58	976	1016	1
0	58	987	953	1
0	58	987	1062	2
0	58	1003	966	1
0	58	1003	989	1
0	58	1015	1053	2
0	58	1053	1015	3
0	58	1053	1041	6
0	58	1053	1105	1
0	58	1053	1112	1
0	58	1062	764	1
0	58	1062	987	1
0	58	1082	974	1
0	58	1101	974	1
0	58	1104	970	16
0	58	1104	1126	11
0	58	1104	1200	12
0	58	1104	1240	10
0	58	1104	1317	6
0	58	1104	1374	1
0	58	1105	1053	1
0	58	1105	1111	2
0	58	1105	1127	1
0	58	1111	1105	1
0	58	1111	1127	1
0	58	1111	1150	1
0	58	1111	1180	1
0	58	1112	764	2
0	58	1126	970	1
0	58	1126	1104	3
0	58	1126	1200	1
0	58	1127	1105	1
0	58	1127	1111	2
0	58	1130	764	1
0	58	1150	1111	3
0	58	1150	1127	1
0	58	1154	1112	1
0	58	1154	1148	1
0	58	1159	976	2
0	58	1159	1182	40
0	58	1159	1239	3
0	58	1159	1315	1
0	58	1159	1366	1
0	58	1159	1368	4
0	58	1159	1442	2
0	58	1160	974	3
0	58	1160	1198	1
0	58	1160	1295	1
0	58	1162	1180	1
0	58	1180	1111	1
0	58	1180	1154	1
0	58	1180	1162	3
0	58	1182	1159	21
0	58	1182	1203	11
0	58	1182	1209	15
0	58	1182	1228	10
0	58	1182	1280	2
0	58	1182	1442	59
0	58	1198	1082	1
0	58	1198	1160	1
0	58	1200	1317	1
0	58	1203	1182	2
0	58	1203	1209	1
0	58	1209	1182	1
0	58	1228	1182	1
0	58	1228	1203	1
0	58	1247	931	2
0	58	1252	1230	1
0	58	1252	1283	1
0	58	1252	1356	9
0	58	1280	1182	1
0	58	1280	1205	5
0	58	1280	1324	11
0	58	1280	1442	15
0	58	1280	1497	13
0	58	1306	1172	1
0	58	1306	1194	1
0	58	1306	1297	4
0	58	1306	1303	8
0	58	1306	1380	7
0	58	1306	1417	15
0	58	1315	1282	8
0	58	1315	1366	6
0	58	1334	1198	1
0	58	1334	1295	4
0	58	1334	1395	2
0	58	1334	1477	5
0	58	1334	1487	2
0	58	1334	1529	14
0	58	1346	1395	6
0	58	1348	1180	3
0	58	1348	1445	15
0	58	1348	1460	1
0	58	1348	1518	1
0	58	1373	1430	4
0	58	1373	1459	1
0	58	1377	1330	1
0	58	1377	1356	1
0	58	1377	1376	20
0	58	1378	1380	2
0	58	1380	1378	3
0	58	1395	1346	1
0	58	1417	1306	1
0	58	1442	1182	90
0	58	1442	1280	24
0	58	1442	1497	15
0	58	1442	1673	4
0	58	1445	1460	1
0	58	1460	1445	1
0	58	1480	1466	1
0	58	1480	1470	2
0	58	1480	1510	1
0	58	1480	1526	8
0	58	1480	1545	6
0	58	1487	1561	1
0	58	1493	1511	8
0	58	1497	1280	19
0	58	1497	1442	9
0	58	1497	1597	21
0	58	1497	1656	3
0	58	1510	1480	1
0	58	1510	1526	2
0	58	1511	1493	5
0	58	1511	1522	1
0	58	1526	1480	5
0	58	1526	1510	3
0	58	1526	1572	7
0	58	1529	1334	7
0	58	1533	1529	1
0	58	1533	1555	2
0	58	1537	1480	1
0	58	1545	1480	2
0	58	1545	1537	1
0	58	1545	1572	3
0	58	1545	1591	1
0	58	1555	1459	2
0	58	1555	1533	11
0	58	1555	1559	2
0	58	1555	1611	20
0	58	1555	1684	4
0	58	1560	1617	4
0	58	1572	1526	2
0	58	1584	1306	1
0	58	1584	1592	1
0	58	1584	1693	4
0	58	1584	1694	37
0	58	1584	1697	2
0	58	1584	1730	3
0	58	1584	1741	28
0	58	1584	1771	8
0	58	1584	1775	11
0	58	1584	1779	5
0	58	1584	1894	7
0	58	1591	1526	2
0	58	1591	1545	1
0	58	1591	1572	2
0	58	1591	1763	1
0	58	1597	1497	1
0	58	1597	1822	1
0	58	1611	1555	1
0	58	1617	1560	1
0	58	1627	1622	4
0	58	1627	1674	4
0	58	1627	1682	1
0	58	1673	1442	2
0	58	1678	1655	1
0	58	1678	1693	1
0	58	1682	1627	1
0	58	1684	1555	1
0	58	1693	1697	1
0	58	1694	1584	3
0	58	1696	1693	1
0	58	1701	1693	1
0	58	1704	1738	4
0	58	1704	1761	1
0	58	1730	1584	2
0	58	1730	1701	1
0	58	1730	1758	2
0	58	1741	1584	11
0	58	1741	1701	16
0	58	1741	1731	4
0	58	1741	1758	11
0	58	1741	1775	9
0	58	1741	1787	6
0	58	1741	1893	2
0	58	1741	1894	1
0	58	1741	1897	5
0	58	1741	1928	4
0	58	1741	1986	15
0	58	1741	2020	8
0	58	1741	2021	1
0	58	1741	2022	12
0	58	1741	2039	1
0	58	1741	2097	9
0	58	1741	2119	1
0	58	1763	1720	2
0	58	1763	1721	2
0	58	1763	1866	2
0	58	1763	1871	2
0	58	1779	1584	1
0	58	1779	1797	1
0	58	1787	1741	1
0	58	1797	1771	1
0	58	1797	1779	1
0	58	1797	1893	4
0	58	1866	1763	9
0	58	1893	1584	1
0	58	1893	1797	4
0	58	1893	1894	8
0	58	1893	1921	9
0	58	1893	2019	2
0	58	1893	2039	1
0	58	1897	1741	1
0	58	1897	1868	1
0	58	1921	1893	1
0	58	1937	2013	2
0	58	1982	1936	2
0	58	1982	2013	1
0	58	2013	1937	1
0	58	2013	1982	14
0	58	2013	2058	14
0	58	2013	2139	1
0	58	2013	2154	1
0	58	2013	2158	4
0	58	2017	2055	3
0	58	2017	2065	1
0	58	2017	2077	3
0	58	2017	2078	3
0	58	2017	2109	3
0	58	2017	2265	1
0	58	2022	1741	3
0	58	2022	2020	3
0	58	2022	2097	4
0	58	2022	2118	2
0	58	2039	2073	1
0	58	2045	2097	1
0	58	2058	2013	1
0	58	2058	2075	1
0	58	2058	2113	1
0	58	2058	2273	1
0	58	2058	2352	2
0	58	2067	2148	1
0	58	2077	2017	2
0	58	2083	2091	1
0	58	2083	2158	1
0	58	2083	2189	1
0	58	2097	1741	7
0	58	2097	2022	9
0	58	2097	2118	3
0	58	2097	2204	1
0	58	2097	2234	4
0	58	2097	2304	11
0	58	2097	2398	1
0	58	2097	2401	3
0	58	2097	2412	2
0	58	2097	2421	16
0	58	2118	2022	1
0	58	2118	2097	7
0	58	2118	2199	1
0	58	2139	2158	1
0	58	2148	2067	1
0	58	2148	2166	1
0	58	2158	2013	1
0	58	2158	2083	4
0	58	2158	2139	2
0	58	2166	2091	1
0	58	2189	2083	5
0	58	2189	2148	1
0	58	2189	2267	1
0	58	2189	2283	1
0	58	2204	2231	1
0	58	2222	2153	2
0	58	2222	2204	1
0	58	2222	2231	1
0	58	2222	2297	1
0	58	2222	2363	1
0	58	2231	2204	1
0	58	2231	2297	1
0	58	2239	2246	1
0	58	2265	2316	2
0	58	2265	2368	7
0	58	2265	2386	1
0	58	2265	2419	4
0	58	2267	2189	1
0	58	2277	2239	1
0	58	2277	2246	5
0	58	2277	2360	2
0	58	2277	2366	1
0	58	2277	2367	1
0	58	2297	2231	1
0	58	2302	2097	2
0	58	2316	2265	6
0	58	2316	2386	1
0	58	2368	2265	2
0	58	2401	2097	1
0	58	2401	2412	1
0	58	2421	2097	10
0	58	2421	2412	1
0	58	2421	2514	7
0	58	2478	2517	12
0	58	2500	2489	1
0	58	2500	2558	2
0	58	2506	2522	1
0	58	2514	2421	16
0	58	2514	2599	7
0	58	2514	2611	3
0	58	2517	2478	7
0	58	2522	2506	2
0	58	2522	2530	1
0	58	2522	2556	2
0	58	2522	2557	3
0	58	2522	2569	3
0	58	2522	2602	1
0	58	2522	2621	2
0	58	2522	2675	1
0	58	2522	2727	1
0	58	2530	2522	2
0	58	2530	2557	3
0	58	2545	2506	1
0	58	2552	2578	1
0	58	2556	2522	2
0	58	2556	2554	3
0	58	2557	2522	1
0	58	2557	2530	2
0	58	2557	2727	1
0	58	2558	2500	2
0	58	2569	2556	1
0	58	2578	2552	5
0	58	2578	2558	1
0	58	2599	2611	1
0	58	2599	2654	1
0	58	2611	2599	2
0	58	2621	2522	1
0	58	2654	2707	1
0	58	2654	2733	1
0	58	2677	2696	1
0	58	2696	2645	1
0	58	2696	2677	1
0	58	2702	2727	1
0	58	2707	2654	5
0	58	2707	2733	3
0	58	2707	2797	2
0	58	2727	2645	2
0	58	2727	2702	3
0	58	2733	2770	1
0	58	2746	2707	1
0	58	2746	2780	2
0	58	2769	2718	1
0	58	2769	2864	7
0	58	2780	2707	1
0	58	2780	2746	7
0	58	2780	2747	1
0	58	2780	2803	5
0	58	2786	2804	1
0	58	2791	2776	1
0	58	2794	2776	3
0	58	2794	2780	1
0	58	2794	2786	1
0	58	2794	2791	7
0	58	2794	2875	5
0	58	2803	2780	3
0	58	2803	2794	2
0	58	2833	2797	1
0	58	2842	2786	1
0	58	2842	2804	1
0	58	2859	2727	1
0	58	2859	2900	2
0	58	2859	2944	1
0	58	2875	2794	1
0	58	2902	2937	1
0	58	2930	3112	1
0	58	2937	2875	2
0	58	2937	2902	8
0	58	2937	2940	21
0	58	2937	2957	2
0	58	2937	2999	1
0	58	2937	3055	17
0	58	2937	3062	8
0	58	2937	3070	7
0	58	2937	3082	18
0	58	2937	3129	1
0	58	2957	2859	1
0	58	2957	2937	2
0	58	2957	2940	2
0	58	2969	2970	3
0	58	2970	2913	1
0	58	2970	2969	14
0	58	2970	3025	5
0	58	2975	2946	4
0	58	2999	2937	2
0	58	3034	3106	1
0	58	3034	3111	2
0	58	3055	2937	1
0	58	3062	2937	1
0	58	3070	2937	2
0	58	3082	2937	9
0	58	3082	2999	1
0	58	3104	2937	2
0	58	3104	3070	4
0	58	3129	3082	2
0	58	1	-999	134
0	58	-999	1	5
0	58	2	-999	1
0	58	-999	2	50
0	58	4	-999	5
0	58	-999	4	5
0	58	5	-999	0
0	58	-999	5	0
0	58	8	-999	1
0	58	-999	8	11
0	58	9	-999	1
0	58	-999	9	3
0	58	11	-999	0
0	58	-999	11	0
0	58	12	-999	0
0	58	-999	12	0
