PatchID	Year_0	Year_2	Year_4	Year_6	Year_8	Year_10	Year_12	Year_14	Year_16	Year_18	Year_20	Year_22	Year_24	Year_26	Year_28	Year_30	Year_32	Year_34	Year_36	Year_38	Year_40	Year_42	Year_44	Year_46	Year_48	Year_50	Year_52	Year_54	Year_56	Year_58	Year_60
248	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
256	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
258	0	0	0	0.5	0.5	0.5	0	0	0	0.5	0	0	0	0	0	0	0.5	0	1	0	0	0	0	0	0	0.5	0.5	0.5	0.5	0.5	0
263	0	0.5	1	0.5	0.5	1	0.5	1	1	1	0.5	1	1	1	1	0.5	0	0.5	0.5	0	0	0.5	1	0.5	1	0.5	0	0.5	0.5	1	1
268	0	0	0.5	0	0.5	0	0	0.5	1	0.5	0.5	0	0.5	0.5	0	0.5	0	0.5	0.5	0	1	0	1	1	0	0.5	0	0	0	0.5	0.5
273	0	0	0.5	1	1	0.5	1	0.5	1	0.5	1	1	1	1	0.5	0.5	0	0.5	0.5	0	1	0	1	0.5	0.5	0	1	0.5	1	0.5	0.5
275	0	0	0.5	0	0	0	0	0	0	0.5	1	0	0	0.5	0.5	0.5	0.5	0	0	0	0	0.5	0	0.5	0	0.5	0.5	0	0	0.5	0.5
276	0	0.5	0.5	0	0.5	0.5	1	1	0.5	0.5	0.5	1	0	0.5	1	1	1	1	1	1	0.5	0.5	0.5	0.5	0	1	0.5	1	1	0.5	0.5
279	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
283	0	0	0	0	0.5	0.5	0	0.5	0	0.5	0	0	0.5	0.5	0.5	0	0	0	0	0	0	0.5	0.5	0	0.5	0	0.5	0	1	0.5	0
285	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.5	1	1
289	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0.5	0.5	0	0.5	0	0	0
290	0.5	0.5	0.5	1	0.5	1	1	0.5	1	1	0.5	1	1	1	1	1	1	0.5	1	1	1	0.5	0.5	0.5	0	1	1	1	1	1	1
293	0	0	0	0	0	0	0	0	0	1	0.5	0	1	0	0.5	0	1	0.5	0.5	0.5	0.5	1	0.5	0	0	0	0.5	1	1	0.5	0
296	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0.5	0	0.5	0	0	0
299	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
306	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0.5	0	0	0	0	0.5	0.5	0	1	0	0	0	0.5	0.5	0.5	0	0	0.5
307	0	1	1	1	1	1	1	1	1	1	1	1	1	0.5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
308	1	1	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0
310	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
313	0	0.5	0	0.5	1	0.5	1	1	0.5	0.5	1	0.5	1	1	0.5	1	1	1	1	0.5	0.5	1	1	0.5	0.5	1	0.5	1	1	1	0.5
314	0	1	0.5	0	1	0.5	1	1	1	1	0.5	1	0.5	0.5	1	1	1	1	1	1	1	1	1	0.5	1	1	1	1	1	1	0.5
315	0.5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
316	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	1	0.5	0	0.5	0.5	0	0	0.5	0	1	0.5	0.5	0	0	0	0	0.5
317	1	1	0.5	0.5	1	0	0	0	0.5	0.5	0.5	0	0	0	0	0	0	0.5	1	0.5	0.5	0	0	0	1	1	0.5	0.5	0.5	0	1
320	0	1	1	0.5	1	0.5	0.5	1	0.5	0	0.5	0.5	0	0	0	0	0	0.5	1	0.5	0.5	0.5	0.5	0.5	0	0	0	1	0	0	0.5
330	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.5	1	1	0.5	0.5	1	1	0.5	1	0.5	1	1	1	1	1	1
332	0	1	0	0	0	0	0	0	0.5	0.5	1	0	0.5	0	0.5	0	0	0	0.5	0	0.5	0	0	0	0	0	0.5	0	0	0	0
335	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
336	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
337	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
